data_set,window,p,d,q,P,D,Q,m,t,RMSE
pct_change,3000,2,0,0,1,0,1,0, None, None
pct_change,3000,2,0,0,1,0,1,7, None,3.6798568235163
pct_change,3000,2,0,1,1,0,0,0, None, None
pct_change,3000,2,0,1,1,0,0,7, None,3.92006434785076
pct_change,3000,2,0,1,2,0,0,0, None, None
pct_change,3000,2,0,1,2,0,0,7, None,3.79849163007057
pct_change,3000,0,0,0,0,0,0,0, None,98.6498602969851
pct_change,3000,0,0,0,1,0,1,0, None, None
pct_change,3000,0,0,0,1,0,1,7, None,7.43248689957497
pct_change,3000,0,0,1,0,0,1,0, None, None
pct_change,3000,0,0,1,0,0,1,7, None,30.1089064009059
pct_change,3000,1,0,0,0,0,0,0, None,3.87753737463914
pct_change,3000,1,0,0,0,0,0,7, None,3.87753737463914
pct_change,3000,1,0,0,0,0,1,0, None, None
pct_change,3000,1,0,0,0,0,1,7, None,3.82238059936081
pct_change,3000,1,0,0,1,0,0,0, None, None
pct_change,3000,1,0,0,1,0,0,7, None,3.80568471367208
pct_change,3000,1,0,0,1,0,1,0, None, None
pct_change,3000,1,0,0,1,0,1,7, None,3.50683208832393
pct_change,3000,1,0,0,2,0,1,0, None, None
pct_change,3000,1,0,0,2,0,1,7, None,3.5150424586399
pct_change,3000,2,0,0,2,0,1,0, None, None
pct_change,3000,2,0,0,2,0,1,7, None,3.69130786378851
pct_change,3000,0,0,0,0,0,0,7, None,98.6498602969851
pct_change,3000,0,0,0,2,0,0,0, None, None
pct_change,3000,0,0,0,2,0,0,7, None,7.53873194583921
pct_change,3000,0,0,1,0,0,0,0, None,50.6449173930093
pct_change,3000,0,0,1,0,0,0,7, None,50.6449173930093
pct_change,3000,0,0,1,1,0,1,0, None, None
pct_change,3000,0,0,1,1,0,1,7, None,12.4943497538311
pct_change,3000,1,0,1,0,0,0,0, None,3.99187986062029
pct_change,3000,1,0,1,0,0,0,7, None,3.99187986062029
pct_change,3000,1,0,1,1,0,0,0, None, None
pct_change,3000,1,0,1,1,0,0,7, None,3.90863642509561
pct_change,3000,1,0,1,1,0,1,0, None, None
pct_change,3000,1,0,1,1,0,1,7, None,3.62827930616242
pct_change,3000,2,0,0,2,0,0,0, None, None
pct_change,3000,2,0,0,2,0,0,7, None,3.8991549779859
pct_change,3000,2,0,1,0,0,0,0, None,4.00029755872848
pct_change,3000,2,0,1,0,0,0,7, None,4.00029755872848
pct_change,3000,2,0,1,0,0,1,0, None, None
pct_change,3000,2,0,1,0,0,1,7, None,3.94049787407954
pct_change,3000,2,0,1,1,0,1,0, None, None
pct_change,3000,2,0,1,1,0,1,7, None,3.69770002815201
pct_change,3000,0,0,0,0,0,1,0, None, None
pct_change,3000,0,0,0,1,0,0,0, None, None
pct_change,3000,0,0,0,1,0,0,7, None,7.43116531880278
pct_change,3000,0,0,0,2,0,1,0, None, None
pct_change,3000,0,0,0,2,0,1,7, None,7.48493271465114
pct_change,3000,0,0,1,2,0,1,0, None, None
pct_change,3000,0,0,1,2,0,1,7, None,19.443417642486
pct_change,3000,1,0,1,2,0,1,0, None, None
pct_change,3000,1,0,1,2,0,1,7, None,3.64019621603988
pct_change,3000,2,0,1,2,0,1,0, None, None
pct_change,3000,2,0,1,2,0,1,7, None,3.67208227375651
pct_change,730,0,0,0,0,0,0,7, None,98.6498602969851
pct_change,730,0,0,0,2,0,0,0, None, None
pct_change,730,0,0,0,2,0,0,7, None,7.53526983281409
pct_change,730,0,0,1,0,0,0,0, None,50.662584466989
pct_change,730,0,0,1,0,0,0,7, None,50.662584466989
pct_change,730,0,0,1,1,0,1,0, None, None
pct_change,730,0,0,1,1,0,1,7, None,6.25347418070834
pct_change,730,1,0,0,1,0,1,0, None, None
pct_change,730,1,0,0,1,0,1,7, None,3.59713475140869
pct_change,730,1,0,1,1,0,0,0, None, None
pct_change,730,1,0,1,1,0,0,7, None,3.96203320281668
pct_change,730,1,0,1,2,0,0,0, None, None
pct_change,730,1,0,1,2,0,0,7, None,3.8478299925476
pct_change,730,2,0,0,0,0,0,0, None,4.03597103495335
pct_change,730,2,0,0,0,0,0,7, None,4.03597103495335
pct_change,730,2,0,0,0,0,1,0, None, None
pct_change,730,2,0,0,0,0,1,7, None,3.99407970799662
pct_change,730,2,0,0,1,0,0,0, None, None
pct_change,730,2,0,0,1,0,0,7, None,3.98066390026398
pct_change,730,2,0,0,2,0,1,0, None, None
pct_change,730,2,0,0,2,0,1,7, None,3.87317096617692
pct_change,730,0,0,0,0,0,1,0, None, None
pct_change,730,0,0,0,1,0,0,0, None, None
pct_change,730,0,0,0,1,0,0,7, None,7.4006526371195
pct_change,730,0,0,0,2,0,1,0, None, None
pct_change,730,0,0,0,2,0,1,7, None,8.66535887104421
pct_change,730,1,0,0,0,0,0,0, None,3.87699993918359
pct_change,730,1,0,0,0,0,0,7, None,3.87699993918359
pct_change,730,1,0,0,0,0,1,0, None, None
pct_change,730,1,0,0,0,0,1,7, None,3.84271563764079
pct_change,730,1,0,0,1,0,0,0, None, None
pct_change,730,1,0,0,1,0,0,7, None,3.8332993553367
pct_change,730,1,0,0,2,0,0,0, None, None
pct_change,730,1,0,0,2,0,0,7, None,3.74131983312647
pct_change,730,1,0,1,0,0,0,0, None,4.0143156376635
pct_change,730,1,0,1,0,0,0,7, None,4.0143156376635
pct_change,730,1,0,1,0,0,1,0, None, None
pct_change,730,1,0,1,0,0,1,7, None,3.9744703389215
pct_change,730,1,0,1,1,0,1,0, None, None
pct_change,730,1,0,1,1,0,1,7, None,3.75405064043028
pct_change,730,2,0,0,1,0,1,0, None, None
pct_change,730,2,0,0,1,0,1,7, None,3.86236684800035
pct_change,730,2,0,1,1,0,0,0, None, None
pct_change,730,2,0,1,1,0,0,7, None,3.98114653246569
pct_change,730,2,0,1,2,0,0,0, None, None
pct_change,730,2,0,1,2,0,0,7, None,3.86596908187459
pct_change,730,0,0,0,0,0,0,0, None,98.6498602969851
pct_change,730,0,0,0,1,0,1,0, None, None
pct_change,730,0,0,0,1,0,1,7, None,7.53990328479052
pct_change,730,0,0,1,1,0,0,0, None, None
pct_change,730,0,0,1,1,0,0,7, None,5.54021218837067
pct_change,730,0,0,1,2,0,0,0, None, None
pct_change,730,0,0,1,2,0,0,7, None,8.08453506660741
pct_change,730,1,0,0,2,0,1,0, None, None
pct_change,730,1,0,0,2,0,1,7, None,3.60416549367333
pct_change,730,2,0,0,2,0,0,0, None, None
pct_change,730,2,0,0,2,0,0,7, None,3.92048928986989
pct_change,730,2,0,1,0,0,0,0, None,4.03332472395133
pct_change,730,2,0,1,0,0,0,7, None,4.03332472395133
pct_change,730,2,0,1,0,0,1,0, None, None
pct_change,730,2,0,1,0,0,1,7, None,3.99386376330843
pct_change,730,2,0,1,1,0,1,0, None, None
pct_change,730,2,0,1,1,0,1,7, None,3.85197119418485
pct_change,730,0,0,0,0,0,1,7, None,51.4833971740376
pct_change,730,0,0,1,0,0,1,0, None, None
pct_change,730,0,0,1,0,0,1,7, None,30.180186457105
pct_change,730,0,0,1,2,0,1,0, None, None
pct_change,730,0,0,1,2,0,1,7, None,20.9410263042782
pct_change,730,1,0,1,2,0,1,0, None, None
pct_change,730,1,0,1,2,0,1,7, None,3.78588117273295
pct_change,730,2,0,1,2,0,1,0, None, None
pct_change,730,2,0,1,2,0,1,7, None,3.81385166048973
pct_change,365,0,0,0,0,0,1,7, None,52.0477747931745
pct_change,365,0,0,1,0,0,0,0, None,53.4402778400409
pct_change,365,0,0,1,0,0,0,7, None,53.4402778400409
pct_change,365,0,0,1,1,0,1,0, None, None
pct_change,365,0,0,1,1,0,1,7, None,8.93887998413857
pct_change,365,1,0,0,2,0,1,0, None, None
pct_change,365,1,0,0,2,0,1,7, None,3.75725166071562
pct_change,365,2,0,0,0,0,0,0, None,4.07089044764862
pct_change,365,2,0,0,0,0,0,7, None,4.07089044764862
pct_change,365,2,0,0,1,0,0,0, None, None
pct_change,365,2,0,0,1,0,0,7, None,4.16836442248602
pct_change,365,2,0,0,2,0,1,0, None, None
pct_change,365,2,0,0,2,0,1,7, None,3.64296109096045
pct_change,365,0,0,0,0,0,0,7, None,98.6498602969851
pct_change,365,0,0,0,2,0,0,0, None, None
pct_change,365,0,0,0,2,0,0,7, None,7.49933954714969
pct_change,365,0,0,1,0,0,1,0, None, None
pct_change,365,0,0,1,0,0,1,7, None,31.6612640363765
pct_change,365,0,0,1,2,0,0,0, None, None
pct_change,365,0,0,1,2,0,0,7, None,7.96057193689441
pct_change,365,1,0,0,2,0,0,0, None, None
pct_change,365,1,0,0,2,0,0,7, None,3.7918527857815
pct_change,365,1,0,1,0,0,0,7, None,4.03922660508941
pct_change,365,1,0,1,1,0,0,0, None, None
pct_change,365,1,0,1,1,0,0,7, None,4.00977925833358
pct_change,365,1,0,1,1,0,1,0, None, None
pct_change,365,1,0,1,1,0,1,7, None,3.78200318737607
pct_change,365,2,0,0,1,0,1,0, None, None
pct_change,365,2,0,0,1,0,1,7, None,3.64561610436278
pct_change,365,2,0,1,1,0,1,0, None, None
pct_change,365,2,0,1,1,0,1,7, None,3.81709012293223
pct_change,365,0,0,0,0,0,0,0, None,98.6498602969851
pct_change,365,0,0,0,1,0,1,0, None, None
pct_change,365,0,0,0,1,0,1,7, None,7.98238657471766
pct_change,365,0,0,1,1,0,0,0, None, None
pct_change,365,0,0,1,1,0,0,7, None,5.54243760949956
pct_change,365,0,0,1,2,0,1,0, None, None
pct_change,365,0,0,1,2,0,1,7, None,9.39369457734865
pct_change,365,1,0,1,2,0,1,0, None, None
pct_change,365,1,0,1,2,0,1,7, None,3.81832961889742
pct_change,365,2,0,1,0,0,1,0, None, None
pct_change,365,2,0,1,0,0,1,7, None,4.1176973921149
pct_change,365,2,0,1,2,0,0,0, None, None
pct_change,365,2,0,1,2,0,0,7, None,3.92581676841253
pct_change,365,0,0,0,0,0,1,0, None, None
pct_change,365,0,0,0,1,0,0,0, None, None
pct_change,365,0,0,0,1,0,0,7, None,7.39516674763001
pct_change,365,0,0,0,2,0,1,0, None, None
pct_change,365,0,0,0,2,0,1,7, None,8.18502861693439
pct_change,365,1,0,0,0,0,0,0, None,3.87840791514376
pct_change,365,1,0,0,0,0,0,7, None,3.87840791514376
pct_change,365,1,0,0,0,0,1,0, None, None
pct_change,365,1,0,0,0,0,1,7, None,3.92869766171493
pct_change,365,1,0,0,1,0,0,0, None, None
pct_change,365,1,0,0,1,0,0,7, None,3.83874362215946
pct_change,365,1,0,0,1,0,1,0, None, None
pct_change,365,1,0,0,1,0,1,7, None,3.75442019456014
pct_change,365,1,0,1,0,0,0,0, None,4.03922660508941
pct_change,365,1,0,1,0,0,1,0, None, None
pct_change,365,1,0,1,0,0,1,7, None,4.10046850224766
pct_change,365,1,0,1,2,0,0,0, None, None
pct_change,365,1,0,1,2,0,0,7, None,3.88621430684538
pct_change,365,2,0,0,0,0,1,0, None, None
pct_change,365,2,0,0,0,0,1,7, None,4.10941929909109
pct_change,365,2,0,0,2,0,0,0, None, None
pct_change,365,2,0,0,2,0,0,7, None,3.84996267884797
pct_change,365,2,0,1,0,0,0,0, None,4.05702673472996
pct_change,365,2,0,1,0,0,0,7, None,4.05702673472996
pct_change,365,2,0,1,1,0,0,0, None, None
pct_change,365,2,0,1,1,0,0,7, None,4.01615596244657
pct_change,365,2,0,1,2,0,1,0, None, None
pct_change,365,2,0,1,2,0,1,7, None,3.82812107210833
pct_change,90,0,0,0,0,0,0,0, None,98.6498602969851
pct_change,90,0,0,0,1,0,1,0, None, None
pct_change,90,0,0,0,1,0,1,7, None,7.36815719767909
pct_change,90,0,0,1,1,0,1,0, None, None
pct_change,90,0,0,1,1,0,1,7, None,18.2875911361161
pct_change,90,1,0,0,1,0,1,0, None, None
pct_change,90,1,0,0,1,0,1,7, None,3.70257500120214
pct_change,90,1,0,1,0,0,1,0, None, None
pct_change,90,1,0,1,0,0,1,7, None,3.89066326325489
pct_change,90,1,0,1,2,0,0,0, None, None
pct_change,90,1,0,1,2,0,0,7, None,4.12346542978678
pct_change,90,2,0,0,1,0,0,0, None, None
pct_change,90,2,0,0,1,0,0,7, None,4.27889939818222
pct_change,90,2,0,0,2,0,0,0, None, None
pct_change,90,2,0,0,2,0,0,7, None,4.05652136060528
pct_change,90,2,0,1,0,0,0,0, None,3.88449551398944
pct_change,90,2,0,1,0,0,1,0, None, None
pct_change,90,2,0,1,0,0,1,7, None,3.93319844381277
pct_change,90,0,0,0,0,0,0,7, None,98.6498602969851
pct_change,90,0,0,0,2,0,0,0, None, None
pct_change,90,0,0,0,2,0,0,7, None,7.59959968376912
pct_change,90,0,0,1,0,0,1,0, None, None
pct_change,90,0,0,1,0,0,1,7, None,30.1414351023964
pct_change,90,0,0,1,2,0,0,0, None, None
pct_change,90,0,0,1,2,0,0,7, None,11.3992448271458
pct_change,90,1,0,0,2,0,0,0, None, None
pct_change,90,1,0,0,2,0,0,7, None,3.9921540623808
pct_change,90,1,0,1,0,0,0,0, None,3.91512640376731
pct_change,90,1,0,1,0,0,0,7, None,3.91512640376731
pct_change,90,1,0,1,1,0,0,0, None, None
pct_change,90,1,0,1,1,0,0,7, None,3.93896845551216
pct_change,90,1,0,1,2,0,1,0, None, None
pct_change,90,1,0,1,2,0,1,7, None,3.80689803510746
pct_change,90,2,0,1,0,0,0,7, None,3.88449551398944
pct_change,90,2,0,1,1,0,1,0, None, None
pct_change,90,2,0,1,1,0,1,7, None,7.6166847318315
pct_change,90,0,0,0,0,0,1,0, None, None
pct_change,90,0,0,0,1,0,0,0, None, None
pct_change,90,0,0,0,1,0,0,7, None,7.52488564350811
pct_change,90,0,0,0,2,0,1,0, None, None
pct_change,90,0,0,0,2,0,1,7, None,7.17299413661476
pct_change,90,1,0,0,0,0,0,0, None,3.89166907759766
pct_change,90,1,0,0,0,0,0,7, None,3.89166907759766
pct_change,90,1,0,0,0,0,1,0, None, None
pct_change,90,1,0,0,0,0,1,7, None,3.84146634372644
pct_change,90,1,0,0,1,0,0,0, None, None
pct_change,90,1,0,0,1,0,0,7, None,3.88447756368561
pct_change,90,1,0,0,2,0,1,0, None, None
pct_change,90,1,0,0,2,0,1,7, None,3.75042763190787
pct_change,90,2,0,0,0,0,0,0, None,3.90741659842915
pct_change,90,2,0,0,0,0,0,7, None,3.90741659842915
pct_change,90,2,0,0,0,0,1,0, None, None
pct_change,90,2,0,0,0,0,1,7, None,3.86702825989098
pct_change,90,2,0,0,2,0,1,0, None, None
pct_change,90,2,0,0,2,0,1,7, None,3.74205604615407
pct_change,90,2,0,1,2,0,0,0, None, None
pct_change,90,2,0,1,2,0,0,7, None,52.0113224832041
pct_change,90,0,0,0,0,0,1,7, None,49.3404112574526
pct_change,90,0,0,1,0,0,0,0, None,50.9869502341789
pct_change,90,0,0,1,0,0,0,7, None,50.9869502341789
pct_change,90,0,0,1,1,0,0,0, None, None
pct_change,90,0,0,1,1,0,0,7, None,18.2731409024627
pct_change,90,0,0,1,2,0,1,0, None, None
pct_change,90,0,0,1,2,0,1,7, None,14.9174856541177
pct_change,90,1,0,1,1,0,1,0, None, None
pct_change,90,1,0,1,1,0,1,7, None,3.73858096886468
pct_change,90,2,0,0,1,0,1,0, None, None
pct_change,90,2,0,0,1,0,1,7, None,3.59913576755146
pct_change,90,2,0,1,1,0,0,0, None, None
pct_change,90,2,0,1,1,0,0,7, None,3.96112698061448
pct_change,90,2,0,1,2,0,1,0, None, None
pct_change,90,2,0,1,2,0,1,7, None,4.17919418391962
